word,deprel,score
water,pobj,0.347222941276394
water,pobj,0.02943067918840425
water,pobj,0.054770409417980497
water,pobj,0.31183207163957705
water,pobj,0.4759129187339852
light,pobj,0.08250342562434465
stove,nsubj,0.38284894916168266
light,dobj,0.05128813419021805
clock,dobj,0.2471005737585421
clock,nn,0.08172557246907684
clock,nn,0.08509436374569068
clock,nn,0.06342309078593189
clock,pobj,0.047624565909721306
clock,root,0.22843974898079644
clock,pobj,0.4844707454554911
clock,pobj,0.16379631047205867
clock,nn,0.02581257757101374
clock,nn,0.014688937284663696
clock,pobj,0.042374344045645114
clock,nsubj,0.10655144907547852
clock,conj,0.07615485175320423
light,pobj,0.4227278487353556
baby,nn,0.3559805594757157
light,dobj,0.041648391440210375
zebra,nsubj,0.8740363144858534
light,nsubj,0.34607844125848186
light,root,0.14700668824706242
light,dobj,0.26689080342934834
clock,pobj,0.5184307435479234
clock,nn,0.13116376229472573
clock,nn,0.09735204766731385
water,nn,0.13113896586858487
water,nn,0.1360378037735024
water,nn,0.21833886376108225
water,nn,0.15806976036610276
clock,pobj,0.38757447660743377
water,conj,0.019207448647927783
water,conj,0.08590686266452507
water,nn,0.19395746502439729
water,nn,0.2140853788399648
water,pobj,0.010248198827557231
baby,root,0.15465382794057547
clock,conj,0.2724822116956871
clock,root,0.4545427052044851
clock,nn,0.18757977795152225
clock,nn,0.11774149198717045
clock,nsubj,0.6186141193938125
clock,root,0.5062415090593281
clock,root,0.5010671214525781
clock,pobj,0.4029075287556173
clock,pobj,0.3606562908658924
clock,rcmod,0.3689176668307692
clock,nn,0.0018525444279615664
water,pobj,0.0200067889840454
clock,root,0.3829391332576777
clock,dobj,0.5685805262278218
clock,root,0.41575838493360734
clock,dobj,0.09100589465600296
clock,nsubj,0.528658037838424
light,amod,0.022041831361678695
clock,nsubj,0.48844848850193895
clock,pobj,0.2566138310835501
light,amod,0.022673917808286648
clock,root,0.5834618187328293
clock,pobj,0.24775660727397494
clock,nsubj,0.5083194002947441
clock,root,0.4105922475788583
clock,root,0.7398974312340622
clock,pobj,0.14554737902620496
clock,root,0.2593853865533197
clock,conj,0.05811160152700135
clock,nsubj,0.5024240871759806
clock,root,0.41255025856756267
clock,root,0.3641706277501984
clock,nsubj,0.5780139957075442
stove,pobj,0.08746244162188033
water,pobj,0.4353855360581741
water,pobj,0.13903411499644136
water,pobj,0.10125430410612113
water,pobj,0.11612024458764915
clock,nn,0.025757652450623447
clock,nn,0.024812301905840158
clock,pobj,0.03234327350758337
clock,nn,0.019802373689947302
clock,pobj,0.05701542967071228
light,pobj,0.11604382388296153
light,nsubj,0.17583717125131149
light,root,0.31862969392198504
light,nsubj,0.11196810525929546
light,nsubj,0.3736187123410215
water,dep,0.10372005505719184
water,root,0.06734004524098247
water,pobj,0.06368099488334411
water,pobj,0.0808549046839181
water,root,0.21843303070072814
zebra,pobj,0.4845179727135697
water,pobj,0.3695268457389145
water,pobj,0.05388624474780034
water,pobj,0.03803047063764431
water,nn,0.05883131763064009
water,pobj,0.19809641765729594
light,amod,0.07183373747395849
light,amod,0.03675653459228112
baby,nn,0.04259314824631622
baby,nn,0.04023666824988592
water,pobj,0.22000383035518745
water,pobj,0.2059955124107996
water,pobj,0.7243050117119197
baby,nn,0.02139882399111237
water,nn,0.03754646089468205
water,pobj,0.09214066887173102
water,pobj,0.5205048017027805
water,pobj,0.04692176188534625
water,pobj,0.05220968692894068
water,pobj,0.07169332120034057
water,pobj,0.03349861209561922
